idProduto_PK,comprimento,descricao,peso,largura,altura,idPedido_FK
28,6,"Integer tincidunt ante vel ipsum.",900,6,9,155
29,2,"Donec semper sapien a libero. Nam dui.",39,10,5,97
30,5,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",828,1,1,161
31,4,"Etiam justo. Etiam pretium iaculis justo.",227,6,8,110
32,9,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",694,1,5,180
33,7,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",747,7,6,164
34,4,"Sed ante. Vivamus tortor. Duis mattis egestas metus.",773,1,6,178
35,8,"Nulla nisl.",370,10,6,164
36,10,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",326,5,3,149
37,2,"Duis bibendum. Morbi non quam nec dui luctus rutrum.",45,6,1,191
38,2,"Phasellus sit amet erat.",594,4,4,67
39,2,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",457,1,5,172
40,9,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",795,7,6,75
41,9,"Nulla ut erat id mauris vulputate elementum.",863,9,6,61
42,7,"Aenean lectus. Pellentesque eget nunc.",507,6,7,132
43,3,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",747,9,6,146
44,2,"Nullam sit amet turpis elementum ligula vehicula consequat.",659,1,8,173
45,6,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",412,3,4,115
46,8,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",933,6,10,160
47,10,"Aenean sit amet justo. Morbi ut odio.",201,1,4,57
48,5,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",380,6,10,139
49,9,"Duis mattis egestas metus.",243,10,6,69
50,1,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.",800,8,8,71
51,7,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",79,8,7,194
52,1,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.",420,3,2,125
53,4,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",103,3,5,91
54,1,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",512,2,2,13
55,7,"Duis ac nibh.",481,6,2,29
56,10,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.",374,10,5,178
57,8,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",892,9,1,121
58,9,"Praesent blandit. Nam nulla.",759,4,3,178
59,4,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",654,9,2,63
60,3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",973,4,8,107
61,2,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",458,2,1,73
62,4,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",603,7,9,193
63,5,"Nulla nisl.",7,4,2,19
64,6,"In hac habitasse platea dictumst.",795,10,10,94
65,5,"Suspendisse potenti.",9,2,6,90
66,8,"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.",378,2,6,3
67,2,"In congue. Etiam justo.",980,7,10,200
68,7,"Pellentesque eget nunc.",95,5,8,3
69,5,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",851,10,7,103
70,2,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",620,8,6,150
71,6,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",222,10,1,194
72,2,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",307,9,1,140
73,5,"Nulla ut erat id mauris vulputate elementum.",345,1,1,25
74,4,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",791,5,9,33
75,3,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.",395,8,3,141
76,7,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.",702,10,3,67
77,9,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",252,7,3,172
78,6,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",328,10,3,182
79,6,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",241,4,5,86
80,3,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",46,8,7,195
81,6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",704,4,7,179
82,10,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.",447,10,6,2
83,10,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",409,6,4,72
84,3,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",699,3,6,197
85,8,"Morbi vel lectus in quam fringilla rhoncus.",846,10,6,73
86,5,"Etiam pretium iaculis justo.",491,1,5,134
87,1,"In hac habitasse platea dictumst.",381,1,2,143
88,7,"Donec ut mauris eget massa tempor convallis.",233,1,10,178
89,2,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",355,8,3,137
90,5,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",412,7,6,152
91,5,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",279,7,1,5
92,1,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",190,3,5,26
93,5,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.",158,6,5,114
94,5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",195,6,3,7
95,8,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",50,7,7,144
96,7,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",917,7,4,198
97,6,"Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",143,2,3,164
98,5,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",199,5,2,145
99,8,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",338,3,7,135
100,2,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",745,5,6,71
101,7,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",789,3,2,37
102,7,"Etiam faucibus cursus urna.",640,4,2,19
103,4,"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",800,5,8,114
104,10,"Donec posuere metus vitae ipsum.",540,2,7,156
105,4,"Cras in purus eu magna vulputate luctus.",662,7,5,29
106,7,"Proin interdum mauris non ligula pellentesque ultrices.",222,7,8,189
107,5,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",987,3,10,64
108,1,"Nunc purus. Phasellus in felis. Donec semper sapien a libero.",17,4,3,83
109,7,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",583,9,7,168
110,9,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",908,4,3,163
111,10,"Sed ante. Vivamus tortor.",655,2,8,41
112,1,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",905,3,1,179
113,2,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",770,8,7,95
114,8,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",200,2,8,190
115,6,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",630,5,3,177
116,5,"Nullam porttitor lacus at turpis.",8,9,4,105
117,3,"Cras in purus eu magna vulputate luctus.",366,8,8,151
118,4,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.",568,6,8,72
119,4,"Aliquam non mauris.",825,7,6,90
120,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",130,5,4,141
121,7,"Duis ac nibh.",937,2,6,179
122,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",286,9,10,156
123,5,"In hac habitasse platea dictumst. Etiam faucibus cursus urna.",810,5,10,7
124,1,"Nullam molestie nibh in lectus.",991,2,5,48
125,2,"Donec posuere metus vitae ipsum. Aliquam non mauris.",645,6,1,70
126,8,"Nam nulla.",175,5,9,191
127,3,"Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.",156,4,10,190
128,2,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.",342,10,1,69
129,5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",835,8,6,71
130,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",265,7,7,61
131,5,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",290,10,3,65
132,1,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",645,3,2,137
133,4,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",705,5,4,71
134,9,"Cras in purus eu magna vulputate luctus.",439,8,2,6
135,7,"Praesent id massa id nisl venenatis lacinia.",942,6,3,18
136,7,"Aliquam non mauris. Morbi non lectus.",105,8,3,68
137,2,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",413,3,8,52
138,6,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",538,4,7,184
139,6,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",765,5,10,158
140,2,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",964,5,1,175
141,8,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",519,5,8,173
142,7,"Suspendisse potenti.",120,6,5,184
143,2,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",638,9,4,18
144,6,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",24,5,1,94
145,9,"Integer ac neque. Duis bibendum.",141,1,4,194
146,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",690,7,1,51
147,1,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",551,8,5,105
148,5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",636,7,6,49
149,4,"Nullam molestie nibh in lectus.",814,4,6,28
150,8,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.",293,5,8,51
151,9,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",398,1,3,145
152,7,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",304,3,8,137
153,7,"Nulla justo.",964,3,10,88
154,7,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",772,7,7,194
155,7,"Pellentesque ultrices mattis odio. Donec vitae nisi.",73,7,8,88
156,10,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",494,9,8,17
157,3,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",761,1,8,174
158,4,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",379,6,3,62
159,10,"Nulla ut erat id mauris vulputate elementum.",872,4,7,192
160,7,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",575,6,3,27
161,6,"Quisque id justo sit amet sapien dignissim vestibulum.",515,1,2,29
162,10,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.",486,2,6,13
163,5,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",792,8,8,6
164,8,"Proin at turpis a pede posuere nonummy. Integer non velit.",488,5,4,157
165,1,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",699,9,8,33
166,1,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",481,1,5,70
167,8,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",771,2,6,174
168,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",623,6,6,47
169,1,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",271,10,6,115
170,6,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",645,9,3,1
171,6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",749,1,7,126
172,10,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",305,2,7,105
173,6,"Ut tellus. Nulla ut erat id mauris vulputate elementum.",908,1,3,185
174,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",326,1,8,90
175,6,"Morbi ut odio.",582,8,8,16
176,9,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.",862,8,8,123
177,5,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2,7,8,174
178,9,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",143,3,7,111
179,4,"Donec ut dolor.",358,7,4,20
180,3,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",183,4,10,184
181,9,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",962,2,7,166
182,6,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",335,9,5,89
183,5,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",357,1,6,157
184,1,"Aliquam erat volutpat. In congue. Etiam justo.",729,7,3,47
185,5,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",326,2,1,81
186,1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",770,1,8,182
187,7,"Nulla justo.",161,6,2,68
188,9,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",366,3,1,151
189,10,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",675,4,10,102
190,7,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",872,7,2,139
191,4,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",644,8,5,144
192,5,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",738,8,4,78
193,8,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",461,1,4,91
194,3,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",881,7,8,162
195,10,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",276,2,4,191
196,3,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",595,5,5,151
197,3,"Etiam pretium iaculis justo.",548,5,3,127
198,1,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",574,5,6,199
199,3,"Aliquam erat volutpat. In congue.",502,6,3,22
200,6,"Proin interdum mauris non ligula pellentesque ultrices.",665,7,4,69
201,8,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",466,4,7,109
202,7,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",816,1,6,80
203,10,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",510,9,6,196
204,1,"Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.",145,1,7,29
205,5,"Donec dapibus. Duis at velit eu est congue elementum.",283,8,4,186
206,7,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",540,1,4,94
207,1,"Vestibulum sed magna at nunc commodo placerat.",244,4,8,143
208,10,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",446,3,5,24
209,9,"Nam dui.",230,5,3,65
210,9,"Nulla suscipit ligula in lacus.",877,8,6,27
211,2,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",275,5,4,58
212,10,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",95,5,7,56
213,1,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",45,7,10,178
214,6,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",581,9,3,172
215,10,"Vivamus vestibulum sagittis sapien.",190,1,1,36
216,7,"Nulla mollis molestie lorem. Quisque ut erat.",998,2,4,157
217,1,"Integer non velit.",51,6,6,163
218,9,"Proin interdum mauris non ligula pellentesque ultrices.",916,7,2,65
219,3,"Aenean fermentum. Donec ut mauris eget massa tempor convallis.",248,9,7,113
220,6,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",312,7,4,85
221,10,"Integer a nibh.",566,4,7,65
222,9,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",412,10,7,14
223,4,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",941,2,2,129
224,2,"In sagittis dui vel nisl. Duis ac nibh.",685,6,5,193
225,4,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",347,7,4,119
226,1,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",624,4,10,134
227,6,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",968,7,4,182
228,8,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",881,3,8,118
229,6,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",581,2,9,122
230,1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",331,9,1,191
231,5,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",772,8,5,113
232,4,"Nullam varius.",571,9,10,134
233,6,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",192,3,6,21
234,2,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",172,8,10,48
235,7,"Aenean fermentum.",935,1,6,93
236,3,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",15,5,2,135
237,3,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",10,10,1,92
238,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",227,5,8,101
239,4,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",610,6,10,102
240,10,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",149,3,6,52
241,9,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit.",616,1,2,114
242,3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",721,1,7,115
243,8,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",318,9,5,30
244,5,"Quisque ut erat. Curabitur gravida nisi at nibh.",372,7,10,131
245,7,"Integer tincidunt ante vel ipsum.",289,4,7,103
246,7,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",197,7,4,97
247,9,"Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",264,1,4,129
248,10,"Etiam justo.",181,6,1,121
249,4,"Nulla nisl.",670,2,8,149
250,9,"Nullam porttitor lacus at turpis.",668,7,8,72
251,7,"Nunc rhoncus dui vel sem. Sed sagittis.",144,3,7,120
252,10,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",116,5,7,164
253,2,"Donec dapibus.",896,5,6,4
