dataRecebimento,dataDespacho,idPedido_FK,idUnidade_FK
2018-04-17,2018-08-18,166,53
2017-11-23,2019-01-24,151,90
2016-10-11,2018-12-08,117,86
2016-12-16,2018-09-26,118,1
2017-12-22,2018-07-28,20,73
2016-09-04,2018-10-12,153,56
2016-11-26,2019-05-22,53,86
2017-11-01,2019-03-13,141,7
2017-09-06,2018-07-03,26,27
2017-05-17,2019-03-10,20,30
2017-07-08,2018-08-02,24,12
2017-02-14,2019-05-11,59,55
2016-11-13,2018-08-09,38,94
2016-12-21,2018-09-20,34,96
2017-06-14,2019-03-17,182,86
2017-03-09,2019-01-02,126,24
2018-03-03,2018-06-29,95,76
2016-11-24,2019-04-16,17,43
2017-08-26,2018-11-21,140,54
2017-02-14,2018-08-12,182,51
2018-01-31,2018-11-21,35,8
2017-09-07,2019-04-25,191,77
2017-07-03,2018-06-19,118,44
2017-02-17,2018-09-12,21,8
2017-12-28,2018-11-09,159,96
2016-10-16,2018-12-24,199,98
2017-09-19,2019-03-29,41,12
2018-05-29,2018-10-01,103,21
2016-10-08,2018-09-09,4,64
2016-09-11,2019-06-04,160,56
2016-10-13,2019-02-23,122,45
2018-01-03,2018-08-19,14,93
2016-06-16,2019-05-18,59,22
2017-09-22,2018-12-26,179,91
2017-05-17,2018-07-01,194,97
2018-04-05,2019-06-13,86,60
2016-06-18,2019-03-06,69,80
2016-08-16,2018-07-07,106,48
2016-09-15,2018-09-08,188,98
2016-11-30,2019-01-25,53,82
2017-06-23,2018-07-23,147,45
2017-09-02,2019-06-13,59,27
2017-12-29,2019-04-06,165,27
2016-12-09,2018-11-20,66,100
2017-03-26,2018-12-13,14,53
2017-04-12,2019-03-01,165,23
2018-02-21,2018-09-30,54,75
2018-01-10,2018-06-16,68,8
2016-12-05,2018-06-30,145,21
2017-10-09,2019-05-14,26,12
2016-12-29,2019-01-28,31,99
2016-10-30,2018-07-27,122,61
2017-01-17,2019-03-31,195,82
2017-08-05,2018-12-14,4,16
2017-12-27,2018-08-29,17,35
2016-12-25,2019-05-10,113,31
2017-02-10,2019-05-24,21,76
2016-07-01,2018-07-29,197,59
2017-06-13,2018-08-06,198,80
2017-01-16,2019-01-21,117,75
2016-10-20,2018-10-28,151,3
2017-05-10,2018-08-24,147,1
2017-10-01,2019-02-27,161,86
2017-08-19,2018-09-24,15,21
2018-02-03,2019-05-05,11,14
2017-02-04,2019-05-11,174,97
2016-08-02,2019-04-21,193,68
2018-05-06,2019-04-14,186,69
2017-07-14,2018-12-04,145,59
2016-10-11,2019-03-05,86,76
2018-04-29,2019-01-29,62,42
2016-10-27,2019-06-02,28,47
2017-02-28,2018-10-17,117,25
2017-08-19,2019-05-22,99,37
2017-07-26,2018-10-06,182,28
2017-05-19,2019-01-10,184,80
2018-01-09,2018-06-26,23,89
2017-03-05,2019-01-11,189,99
2017-03-29,2018-11-11,153,46
2018-01-01,2018-07-15,121,2
2016-11-08,2018-12-31,197,54
2017-01-02,2018-08-14,174,48
2016-11-30,2019-02-26,197,19
2016-07-29,2018-08-19,166,4
2018-02-14,2018-06-27,55,46
2017-03-22,2019-02-11,52,61
2017-09-28,2019-02-18,182,54
2017-04-10,2018-10-11,72,90
2016-12-04,2018-07-02,151,7
2018-04-12,2018-12-29,34,30
2018-06-03,2018-12-22,167,87
2017-02-13,2019-01-20,144,95
2017-12-01,2019-02-17,78,29
2018-01-25,2019-05-09,127,60
2016-06-24,2018-08-27,9,16
2017-04-18,2019-05-10,146,13
2017-04-01,2019-01-17,187,27
2017-02-10,2018-11-23,124,63
2018-05-05,2018-12-21,82,73
2016-11-19,2019-05-29,193,90
2018-04-29,2018-09-28,89,95
2017-08-06,2018-09-11,25,60
2017-03-27,2018-10-24,127,80
2017-01-21,2019-01-01,162,47
2016-10-30,2018-09-21,97,61
2016-07-09,2018-11-26,122,36
2016-11-19,2019-03-16,8,20
2016-11-18,2018-06-19,120,58
2017-10-07,2018-09-28,117,49
2016-06-25,2018-08-14,139,19
2017-08-06,2019-02-23,61,58
2017-01-25,2018-10-20,33,43
2018-02-03,2018-12-29,8,88
2017-05-14,2019-03-16,87,33
2016-12-30,2019-02-17,133,54
2018-03-15,2018-08-03,75,13
2017-08-14,2019-03-15,107,21
2018-01-09,2018-08-24,48,8
2017-06-10,2019-01-22,94,79
2016-10-30,2018-08-29,62,71
2017-12-26,2019-01-09,135,97
2017-11-06,2019-05-19,2,16
2017-03-13,2018-12-30,198,17
2016-11-09,2019-05-08,150,100
2017-01-20,2018-08-04,45,48
2017-12-09,2019-01-11,170,6
2017-07-06,2019-03-11,66,53
2018-01-09,2019-03-06,48,18
2017-11-17,2019-06-04,171,40
2017-09-10,2018-09-26,110,59
2017-11-07,2018-08-30,144,24
2016-12-02,2019-05-19,112,15
2017-06-11,2019-01-25,84,54
2016-11-02,2018-12-26,64,14
2017-06-09,2018-10-05,136,57
2017-03-25,2018-10-22,52,65
2018-04-22,2018-09-01,72,19
2017-08-23,2018-10-31,99,33
2016-07-11,2019-04-07,62,43
2017-10-07,2018-08-27,123,1
2017-06-16,2018-07-04,14,93
2017-06-28,2019-06-03,165,62
2017-03-06,2019-01-20,160,36
2018-03-24,2018-11-30,114,26
2017-12-11,2019-02-25,111,32
2017-11-05,2019-02-18,57,34
2017-03-24,2018-09-17,105,18
2016-12-02,2019-05-16,108,11
2016-09-21,2018-12-25,116,55
2016-10-24,2018-12-24,14,17
2018-01-20,2019-05-06,97,24
2017-01-23,2019-01-16,130,61
2018-04-12,2018-07-14,29,15
2017-08-17,2018-08-14,79,91
2016-11-02,2019-02-02,84,35
2016-11-25,2018-06-27,172,52
2018-06-01,2018-08-27,156,25
2018-05-14,2018-10-29,187,45
2017-10-05,2019-02-18,31,84
2017-01-22,2018-07-28,100,25
2016-07-16,2018-08-15,116,67
2017-04-16,2019-04-30,107,28
2016-12-06,2018-10-14,42,21
2016-12-11,2018-11-13,99,54
2016-11-29,2019-03-19,13,75
2016-09-04,2018-12-10,104,17
2017-01-20,2018-10-17,117,19
2018-03-02,2018-12-28,4,98
2017-03-25,2018-07-20,123,13
2017-05-29,2018-07-31,163,91
2016-09-12,2019-01-10,40,16
2017-10-26,2018-12-29,14,69
2017-06-25,2019-03-13,142,17
2016-12-16,2019-04-08,153,44
2017-10-28,2018-06-30,99,23
2017-01-05,2018-11-20,162,54
2017-07-05,2019-05-27,120,71
2017-02-19,2019-01-04,100,41
